-1  0000  0       0  0000  -1
 0  0001  1       1  0001   0
 1  0010  2       2  0010   1
 2  0100  4       3  0011   4
 3  1000  8       4  0100   2
 4  0011  3       5  0101   8
 5  0110  6       6  0110   5
 6  1100 12       7  0111  10
 7  1011 11       8  1000   3
 8  0101  5       9  1001  14
 9  1010 10      10  1010   9
10  0111  7      11  1011   7
11  1110 14      12  1100   6
12  1111 15      13  1101  13
13  1101 13      14  1110  11
14  1001  9      15  1111  12


-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14
 0 -1  4  8 14  1 10 13  9  2  7  5 12 11  6  3
 1  4 -1  5  9  0  2 11 14 10  3  8  6 13 12  7
 2  8  5 -1  6 10  1  3 12  0 11  4  9  7 14 13
 3 14  9  6 -1  7 11  2  4 13  1 12  5 10  8  0
 4  1  0 10  7 -1  8 12  3  5 14  2 13  6 11  9
 5 10  2  1 11  8 -1  9 13  4  6  0  3 14  7 12
 6 13 11  3  2 12  9 -1 10 14  5  7  1  4  0  8
 7  9 14 12  4  3 13 10 -1 11  0  6  8  2  5  1
 8  2 10  0 13  5  4 14 11 -1 12  1  7  9  3  6
 9  7  3 11  1 14  6  5  0 12 -1 13  2  8 10  4
10  5  8  4 12  2  0  7  6  1 13 -1 14  3  9 11
11 12  6  9  5 13  3  1  8  7  2 14 -1  0  4 10
12 11 13  7 10  6 14  4  2  9  8  3  0 -1  1  5
13  6 12 14  8 11  7  0  5  3 10  9  4  1 -1  2
14  3  7 13  0  9 12  8  1  6  4 11 10  5  2 -1

-1	  0	  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	 14
 0	 -1	  4	  8	 14	  1	 10	 13	  9	  2	  7	  5	 12	 11	  6	  3
 1	  4	 -1	  5	  9	  0	  2	 11	 14	 10	  3	  8	  6	 13	 12	  7
 2	  8	  5	 -1	  6	 10	  1	  3	 12	  0	 11	  4	  9	  7	 14	 13
 3	 14	  9	  6	 -1	  7	 11	  2	  4	 13	  1	 12	  5	 10	  8	  0
 4	  1	  0	 10	  7	 -1	  8	 12	  3	  5	 14	  2	 13	  6	 11	  9
 5	 10	  2	  1	 11	  8	 -1	  9	 13	  4	  6	  0	  3	 14	  7	 12
 6	 13	 11	  3	  2	 12	  9	 -1	 10	 14	  5	  7	  1	  4	  0	  8
 7	  9	 14	 12	  4	  3	 13	 10	 -1	 11	  0	  6	  8	  2	  5	  1
 8	  2	 10	  0	 13	  5	  4	 14	 11	 -1	 12	  1	  7	  9	  3	  6
 9	  7	  3	 11	  1	 14	  6	  5	  0	 12	 -1	 13	  2	  8	 10	  4
10	  5	  8	  4	 12	  2	  0	  7	  6	  1	 13	 -1	 14	  3	  9	 11
11	 12	  6	  9	  5	 13	  3	  1	  8	  7	  2	 14	 -1	  0	  4	 10
12	 11	 13	  7	 10	  6	 14	  4	  2	  9	  8	  3	  0	 -1	  1	  5
13	  6	 12	 14	  8	 11	  7	  0	  5	  3	 10	  9	  4	  1	 -1	  2
14	  3	  7	 13	  0	  9	 12	  8	  1	  6	  4	 11	 10	  5	  2	 -1

	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
